241 1444
47 46 0.0103806
48 13 0.0231023
48 178 0.0397351
48 37 0.0313589
48 132 0.0761246
48 113 0.00341297
48 26 0.0243056
48 238 0.0267176
48 167 0.0295082
48 200 0.04811
48 150 0.0328947
48 157 0.0162338
48 38 0.0176678
49 88 0.0763889
49 13 0.0513699
49 231 0.0337838
50 171 0.0652921
50 81 0.0330033
50 193 0.0319149
50 74 0.01875
50 112 0.0761246
50 86 0.0743494
50 189 0.0801394
50 194 0.0992908
50 19 0.0586207
50 49 0.0918728
51 141 0.0655172
51 161 0.126866
51 46 0.0846154
51 157 0.0164474
51 88 0.019802
51 193 0.094697
52 105 0.0319149
52 75 0.0182371
52 106 0.0282686
52 31 0.035461
52 165 0.0332226
52 33 0.0199336
52 206 0.0138889
52 45 0.0353357
52 51 0.0198675
54 87 0.0226415
54 112 0.0505415
54 2 0.111111
54 53 0.0883534
55 35 0.0422535
55 74 0.00977199
55 171 0.0462633
55 29 0.0955882
56 19 0.0174825
56 145 0.0538462
57 108 0.0215385
57 167 0.0122324
57 46 0.0133779
57 92 0.0123077
57 111 0.0196721
57 71 0.0176678
57 100 0.0247678
57 53 0.0130719
57 56 0.00643087
58 225 0.0177778
58 76 0.0304054
59 54 0.0505051
59 86 0.0506757
59 221 0.0347003
59 171 0.0310559
59 58 0.0185759
60 189 0.0695971
61 208 0.0251799
61 240 0.0103448
61 74 0.00925926
61 89 0.028169
61 60 0.0138408
61 185 0.0361011
61 63 0.00651466
61 51 0.019802
62 216 0.0238095
63 216 0.00653595
63 62 0.0135593
64 125 0.0661765
64 120 0.0442177
64 230 0.0547445
64 122 0.0511945
64 113 0.0861423
64 180 0.01
65 222 0.0467626
65 237 0.0296296
65 145 0.0586081
65 215 0.0505415
65 120 0.037037
65 165 0.0367893
65 235 0.0362319
65 141 0.0402685
65 50 0.0655172
65 203 0.0620438
65 64 0.0659722
66 208 0.032967
66 74 0.015674
66 3 0.037037
66 9 0.0285714
67 235 0.0358423
67 141 0.0610169
68 101 0.0190476
68 182 0.015674
68 154 0.0126183
68 12 0.00940439
68 199 0.00617284
68 172 0.020202
68 129 0.0170648
68 67 0.00934579
69 191 0.0433071
70 22 0.0340136
70 174 0.00655738
70 82 0.0234899
70 58 0.00668896
70 216 0.0375427
70 193 0.0215054
70 173 0.0140351
70 151 0.0106383
70 69 0.0180505
71 62 0.027668
71 166 0.0588235
71 88 0.0671937
71 13 0.0389105
72 11 0.00680272
72 97 0.0246479
72 74 0.033557
72 107 0.0138889
72 166 0.0223048
72 13 0.013986
73 211 0.0194175
73 118 0.0137931
73 154 0.028169
73 23 0.0284698
73 214 0.020979
73 146 0.0209059
73 33 0.024735
73 189 0.0244755
73 66 0.0174825
73 140 0.0138408
73 72 0.00364964
75 137 0.0212766
75 229 0.0279503
75 67 0.0243161
75 55 0.00949367
75 37 0.0323625
75 51 0.0183486
75 235 0.0331126
75 176 0.0347222
75 17 0.0369231
75 111 0.0160256
75 69 0.019544
75 74 0.0668693
